"Object_ID,Provinsi,Tanggal,Kasus_Terkonfirmasi_Akumulatif,Penambahan_Harian_Kasus_Terkonf,Kasus_Sembuh_Akumulatif,Penambahan_Harian_Kasus_Sembuh,Kasus_Meninggal_Akumulatif,Penambahan_Harian_Kasus_Meningg,Kasus_Aktif_Akumulatif,CFR_Harian,RI_Harian,FID,ObjectId"
"14,Kalimantan Tengah,2020/03/02 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,14,3585"
"15,Kalimantan Selatan,2020/03/02 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,15,3586"
"16,Kalimantan Utara,2020/03/02 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,16,3587"
"17,Kepulauan Riau,2020/03/02 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,17,3588"
"18,Nusa Tenggara Barat,2020/03/02 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,18,3589"
"19,Sumatera Selatan,2020/03/02 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,19,3590"
"20,Sumatera Barat,2020/03/02 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,20,3591"
"21,Sulawesi Utara,2020/03/02 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,21,3592"
"22,Sumatera Utara,2020/03/02 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,22,3593"
"23,Sulawesi Tenggara,2020/03/02 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,23,3594"
"24,Sulawesi Selatan,2020/03/02 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,24,3595"
"25,Sulawesi Tengah,2020/03/02 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,25,3596"
"26,Lampung,2020/03/02 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,26,3597"
"27,Riau,2020/03/02 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,27,3598"
"28,Maluku Utara,2020/03/02 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,28,3599"
"29,Maluku,2020/03/02 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,29,3600"
"30,Papua Barat,2020/03/02 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,30,3601"
"31,Papua,2020/03/02 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,31,3602"
"32,Sulawesi Barat,2020/03/02 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,32,3603"
"33,Nusa Tenggara Timur,2020/03/02 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,33,3604"
"34,Gorontalo,2020/03/02 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,34,3605"
"35,Indonesia,2020/03/02 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,35,3606"
"36,Aceh,2020/03/03 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,36,3607"
"37,Bali,2020/03/03 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,37,3608"
"38,Banten,2020/03/03 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,38,3609"
"39,Kepulauan Bangka Belitung,2020/03/03 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,39,3610"
"40,Bengkulu,2020/03/03 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,40,3611"
"41,Daerah Istimewa Yogyakarta,2020/03/03 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,41,3612"
"42,DKI Jakarta,2020/03/03 00:00:00+00,2,0,0,0,0,0,2,0.00000,0.00000,42,3613"
"43,Jambi,2020/03/03 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,43,3614"
"44,Jawa Barat,2020/03/03 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,44,3615"
"45,Jawa Tengah,2020/03/03 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,45,3616"
"46,Jawa Timur,2020/03/03 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,46,3617"
"47,Kalimantan Barat,2020/03/03 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,47,3618"
"48,Kalimantan Timur,2020/03/03 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,48,3619"
"49,Kalimantan Tengah,2020/03/03 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,49,3620"
"50,Kalimantan Selatan,2020/03/03 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,50,3621"
"51,Kalimantan Utara,2020/03/03 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,51,3622"
"52,Kepulauan Riau,2020/03/03 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,52,3623"
"53,Nusa Tenggara Barat,2020/03/03 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,53,3624"
"54,Sumatera Selatan,2020/03/03 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,54,3625"
"55,Sumatera Barat,2020/03/03 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,55,3626"
"56,Sulawesi Utara,2020/03/03 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,56,3627"
"57,Sumatera Utara,2020/03/03 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,57,3628"
"58,Sulawesi Tenggara,2020/03/03 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,58,3629"
"59,Sulawesi Selatan,2020/03/03 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,59,3630"
"60,Sulawesi Tengah,2020/03/03 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,60,3631"
"61,Lampung,2020/03/03 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,61,3632"
"62,Riau,2020/03/03 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,62,3633"
"63,Maluku Utara,2020/03/03 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,63,3634"
"64,Maluku,2020/03/03 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,64,3635"
"65,Papua Barat,2020/03/03 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,65,3636"
"66,Papua,2020/03/03 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,66,3637"
"67,Sulawesi Barat,2020/03/03 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,67,3638"
"68,Nusa Tenggara Timur,2020/03/03 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,68,3639"
"69,Gorontalo,2020/03/03 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,69,3640"
"70,Indonesia,2020/03/03 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,70,3641"
"71,Aceh,2020/03/04 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,71,3642"
"72,Bali,2020/03/04 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,72,3643"
"73,Banten,2020/03/04 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,73,3644"
"74,Kepulauan Bangka Belitung,2020/03/04 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,74,3645"
"75,Bengkulu,2020/03/04 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,75,3646"
"76,Daerah Istimewa Yogyakarta,2020/03/04 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,76,3647"
"77,DKI Jakarta,2020/03/04 00:00:00+00,2,0,0,0,0,0,2,0.00000,0.00000,77,3648"
"78,Jambi,2020/03/04 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,78,3649"
"79,Jawa Barat,2020/03/04 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,79,3650"
"80,Jawa Tengah,2020/03/04 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,80,3651"
"81,Jawa Timur,2020/03/04 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,81,3652"
"82,Kalimantan Barat,2020/03/04 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,82,3653"
"83,Kalimantan Timur,2020/03/04 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,83,3654"
"84,Kalimantan Tengah,2020/03/04 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,84,3655"
"85,Kalimantan Selatan,2020/03/04 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,85,3656"
"86,Kalimantan Utara,2020/03/04 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,86,3657"
"87,Kepulauan Riau,2020/03/04 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,87,3658"
"88,Nusa Tenggara Barat,2020/03/04 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,88,3659"
"89,Sumatera Selatan,2020/03/04 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,89,3660"
"90,Sumatera Barat,2020/03/04 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,90,3661"
"91,Sulawesi Utara,2020/03/04 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,91,3662"
"92,Sumatera Utara,2020/03/04 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,92,3663"
"93,Sulawesi Tenggara,2020/03/04 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,93,3664"
"94,Sulawesi Selatan,2020/03/04 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,94,3665"
"95,Sulawesi Tengah,2020/03/04 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,95,3666"
"96,Lampung,2020/03/04 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,96,3667"
"97,Riau,2020/03/04 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,97,3668"
"98,Maluku Utara,2020/03/04 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,98,3669"
"99,Maluku,2020/03/04 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,99,3670"
"100,Papua Barat,2020/03/04 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,100,3671"
"101,Papua,2020/03/04 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,101,3672"
"102,Sulawesi Barat,2020/03/04 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,102,3673"
"103,Nusa Tenggara Timur,2020/03/04 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,103,3674"
"104,Gorontalo,2020/03/04 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,104,3675"
"105,Indonesia,2020/03/04 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,105,3676"
"106,Aceh,2020/03/05 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,106,3677"
"107,Bali,2020/03/05 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,107,3678"
"108,Banten,2020/03/05 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,108,3679"
"109,Kepulauan Bangka Belitung,2020/03/05 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,109,3680"
"110,Bengkulu,2020/03/05 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,110,3681"
"111,Daerah Istimewa Yogyakarta,2020/03/05 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,111,3682"
"112,DKI Jakarta,2020/03/05 00:00:00+00,2,0,0,0,0,0,2,0.00000,0.00000,112,3683"
"113,Jambi,2020/03/05 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,113,3684"
"114,Jawa Barat,2020/03/05 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,114,3685"
"115,Jawa Tengah,2020/03/05 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,115,3686"
"116,Jawa Timur,2020/03/05 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,116,3687"
"117,Kalimantan Barat,2020/03/05 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,117,3688"
"118,Kalimantan Timur,2020/03/05 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,118,3689"
"119,Kalimantan Tengah,2020/03/05 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,119,3690"
"120,Kalimantan Selatan,2020/03/05 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,120,3691"
"121,Kalimantan Utara,2020/03/05 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,121,3692"
"122,Kepulauan Riau,2020/03/05 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,122,3693"
"123,Nusa Tenggara Barat,2020/03/05 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,123,3694"
"124,Sumatera Selatan,2020/03/05 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,124,3695"
"125,Sumatera Barat,2020/03/05 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,125,3696"
"126,Sulawesi Utara,2020/03/05 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,126,3697"
"127,Sumatera Utara,2020/03/05 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,127,3698"
"128,Sulawesi Tenggara,2020/03/05 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,128,3699"
"129,Sulawesi Selatan,2020/03/05 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,129,3700"
"130,Sulawesi Tengah,2020/03/05 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,130,3701"
"131,Lampung,2020/03/05 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,131,3702"
"132,Riau,2020/03/05 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,132,3703"
"133,Maluku Utara,2020/03/05 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,133,3704"
"134,Maluku,2020/03/05 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,134,3705"
"135,Papua Barat,2020/03/05 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,135,3706"
"136,Papua,2020/03/05 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,136,3707"
"137,Sulawesi Barat,2020/03/05 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,137,3708"
"138,Nusa Tenggara Timur,2020/03/05 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,138,3709"
"139,Gorontalo,2020/03/05 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,139,3710"
"140,Indonesia,2020/03/05 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,140,3711"
"141,Aceh,2020/03/06 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,141,3712"
"142,Bali,2020/03/06 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,142,3713"
"143,Banten,2020/03/06 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,143,3714"
"144,Kepulauan Bangka Belitung,2020/03/06 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,144,3715"
"145,Bengkulu,2020/03/06 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,145,3716"
"146,Daerah Istimewa Yogyakarta,2020/03/06 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,146,3717"
"147,DKI Jakarta,2020/03/06 00:00:00+00,4,2,0,0,0,0,4,0.00000,0.00000,147,3718"
"148,Jambi,2020/03/06 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,148,3719"
"149,Jawa Barat,2020/03/06 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,149,3720"
"150,Jawa Tengah,2020/03/06 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,150,3721"
"151,Jawa Timur,2020/03/06 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,151,3722"
"152,Kalimantan Barat,2020/03/06 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,152,3723"
"153,Kalimantan Timur,2020/03/06 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,153,3724"
"154,Kalimantan Tengah,2020/03/06 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,154,3725"
"155,Kalimantan Selatan,2020/03/06 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,155,3726"
"156,Kalimantan Utara,2020/03/06 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,156,3727"
"157,Kepulauan Riau,2020/03/06 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,157,3728"
"158,Nusa Tenggara Barat,2020/03/06 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,158,3729"
"159,Sumatera Selatan,2020/03/06 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,159,3730"
"160,Sumatera Barat,2020/03/06 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,160,3731"
"161,Sulawesi Utara,2020/03/06 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,161,3732"
"162,Sumatera Utara,2020/03/06 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,162,3733"
"163,Sulawesi Tenggara,2020/03/06 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,163,3734"
"164,Sulawesi Selatan,2020/03/06 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,164,3735"
"165,Sulawesi Tengah,2020/03/06 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,165,3736"
"166,Lampung,2020/03/06 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,166,3737"
"167,Riau,2020/03/06 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,167,3738"
"168,Maluku Utara,2020/03/06 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,168,3739"
"169,Maluku,2020/03/06 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,169,3740"
"170,Papua Barat,2020/03/06 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,170,3741"
"171,Papua,2020/03/06 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,171,3742"
"172,Sulawesi Barat,2020/03/06 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,172,3743"
"173,Nusa Tenggara Timur,2020/03/06 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,173,3744"
"174,Gorontalo,2020/03/06 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,174,3745"
"175,Indonesia,2020/03/06 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,175,3746"
"176,Aceh,2020/03/07 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,176,3747"
"177,Bali,2020/03/07 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,177,3748"
"178,Banten,2020/03/07 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,178,3749"
"179,Kepulauan Bangka Belitung,2020/03/07 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,179,3750"
"180,Bengkulu,2020/03/07 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,180,3751"
"181,Daerah Istimewa Yogyakarta,2020/03/07 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,181,3752"
"182,DKI Jakarta,2020/03/07 00:00:00+00,4,0,0,0,0,0,4,0.00000,0.00000,182,3753"
"183,Jambi,2020/03/07 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,183,3754"
"184,Jawa Barat,2020/03/07 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,184,3755"
"185,Jawa Tengah,2020/03/07 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,185,3756"
"186,Jawa Timur,2020/03/07 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,186,3757"
"187,Kalimantan Barat,2020/03/07 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,187,3758"
"188,Kalimantan Timur,2020/03/07 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,188,3759"
"189,Kalimantan Tengah,2020/03/07 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,189,3760"
"190,Kalimantan Selatan,2020/03/07 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,190,3761"
"191,Kalimantan Utara,2020/03/07 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,191,3762"
"192,Kepulauan Riau,2020/03/07 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,192,3763"
"193,Nusa Tenggara Barat,2020/03/07 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,193,3764"
"194,Sumatera Selatan,2020/03/07 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,194,3765"
"195,Sumatera Barat,2020/03/07 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,195,3766"
"196,Sulawesi Utara,2020/03/07 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,196,3767"
"197,Sumatera Utara,2020/03/07 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,197,3768"
"198,Sulawesi Tenggara,2020/03/07 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,198,3769"
"199,Sulawesi Selatan,2020/03/07 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,199,3770"
"200,Sulawesi Tengah,2020/03/07 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,200,3771"
"201,Lampung,2020/03/07 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,201,3772"
"202,Riau,2020/03/07 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,202,3773"
"203,Maluku Utara,2020/03/07 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,203,3774"
"204,Maluku,2020/03/07 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,204,3775"
"205,Papua Barat,2020/03/07 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,205,3776"
"206,Papua,2020/03/07 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,206,3777"
"207,Sulawesi Barat,2020/03/07 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,207,3778"
"208,Nusa Tenggara Timur,2020/03/07 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,208,3779"
"209,Gorontalo,2020/03/07 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,209,3780"
"210,Indonesia,2020/03/07 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,210,3781"
"211,Aceh,2020/03/08 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,211,3782"
"212,Bali,2020/03/08 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,212,3783"
"213,Banten,2020/03/08 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,213,3784"
"214,Kepulauan Bangka Belitung,2020/03/08 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,214,3785"
"215,Bengkulu,2020/03/08 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,215,3786"
"216,Daerah Istimewa Yogyakarta,2020/03/08 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,216,3787"
"217,DKI Jakarta,2020/03/08 00:00:00+00,6,2,0,0,0,0,6,0.00000,0.00000,217,3788"
"218,Jambi,2020/03/08 00:00:00+00,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,218,3789"
